store,type,search_term,geo,limit
jd,search,洗衣液,Shanghai,1000
jd,search,电子零件,Shanghai,1000
jd,search,母婴用品,Shanghai,1000
jd,search,日用品,Shanghai,1000
jd,search,家清,Shanghai,1000
jd,search,家具,Shanghai,1000
jd,search,游戏,Shanghai,1000
